transaction_id,atm_location,transaction_type,amount,transaction_time,customer_id,status,hour,day_of_week
FIX000001,Downtown Branch,withdrawal,40.0,2026-02-06 15:55:16.993016,CUST9322,success,15,Friday
FIX000002,University Campus,withdrawal,200.0,2026-03-20 15:38:16.993418,CUST7396,success,15,Friday
FIX000003,Downtown Branch,withdrawal,500.0,2026-02-20 03:34:16.993726,CUST4005,success,3,Friday
FIX000004,Downtown Branch,withdrawal,200.0,2026-02-14 23:19:16.994014,CUST9792,success,23,Saturday
FIX000005,Shopping Mall,withdrawal,120.0,2026-04-11 00:50:16.994372,CUST1775,success,0,Saturday
FIX000006,Airport Terminal,balance_check,0.0,2026-03-14 16:26:16.994694,CUST4843,success,16,Saturday
FIX000007,University Campus,deposit,905.34,2026-01-19 15:32:16.994935,CUST8629,success,15,Monday
FIX000008,Hospital Complex,withdrawal,60.0,2026-03-11 04:55:16.995126,CUST5859,success,4,Wednesday
FIX000009,Airport Terminal,withdrawal,40.0,2026-03-22 04:01:16.995288,CUST3695,success,4,Sunday
FIX000010,Shopping Mall,balance_check,0.0,2026-01-28 18:08:16.995460,CUST7184,success,18,Wednesday
FIX000011,Airport Terminal,withdrawal,20.0,2026-02-07 02:04:16.995607,CUST3731,success,2,Saturday
FIX000012,Hospital Complex,withdrawal,120.0,2026-02-13 16:41:16.995776,CUST7910,success,16,Friday
FIX000013,Airport Terminal,withdrawal,80.0,2026-01-31 05:01:16.995950,CUST8408,success,5,Saturday
FIX000014,Downtown Branch,withdrawal,300.0,2026-03-27 23:37:16.996111,CUST4157,success,23,Friday
FIX000015,Airport Terminal,withdrawal,80.0,2026-03-06 00:19:16.996273,CUST6450,success,0,Friday
FIX000016,Train Station,deposit,344.92,2026-01-21 03:37:16.996468,CUST6864,success,3,Wednesday
FIX000017,Downtown Branch,withdrawal,200.0,2026-03-24 04:07:16.996619,CUST8994,success,4,Tuesday
FIX000018,Downtown Branch,withdrawal,100.0,2026-02-26 23:27:16.996782,CUST8554,success,23,Thursday
FIX000019,Downtown Branch,withdrawal,160.0,2026-01-29 03:17:16.996944,CUST8392,success,3,Thursday
FIX000020,Train Station,withdrawal,200.0,2026-02-25 18:32:16.997120,CUST5218,success,18,Wednesday
FIX000021,University Campus,transfer,428.88,2026-02-09 17:24:16.997282,CUST5282,success,17,Monday
FIX000022,Hospital Complex,withdrawal,120.0,2026-03-31 04:17:16.997435,CUST2734,success,4,Tuesday
FIX000023,Shopping Mall,balance_check,0.0,2026-03-11 18:58:16.997595,CUST6534,success,18,Wednesday
FIX000024,University Campus,balance_check,0.0,2026-04-12 22:00:16.997742,CUST3049,success,22,Sunday
FIX000025,Airport Terminal,deposit,669.79,2026-04-07 15:11:16.997883,CUST3255,success,15,Tuesday
FIX000026,Train Station,deposit,865.84,2026-02-24 12:20:16.998029,CUST5199,success,12,Tuesday
FIX000027,Airport Terminal,transfer,319.72,2026-01-21 04:41:16.998186,CUST1956,success,4,Wednesday
FIX000028,Train Station,withdrawal,200.0,2026-03-17 19:02:16.998372,CUST5496,success,19,Tuesday
FIX000029,Airport Terminal,withdrawal,100.0,2026-02-19 23:25:16.998537,CUST9754,failed,23,Thursday
FIX000030,University Campus,withdrawal,100.0,2026-03-23 21:42:16.998695,CUST8996,success,21,Monday
FIX000031,Shopping Mall,withdrawal,200.0,2026-02-14 22:27:16.998869,CUST2060,success,22,Saturday
FIX000032,Downtown Branch,withdrawal,200.0,2026-03-05 01:23:16.999025,CUST3975,success,1,Thursday
FIX000033,University Campus,withdrawal,200.0,2026-02-11 12:58:16.999186,CUST4863,success,12,Wednesday
FIX000034,Airport Terminal,withdrawal,100.0,2026-03-27 19:14:16.999351,CUST8560,success,19,Friday
FIX000035,Airport Terminal,withdrawal,80.0,2026-03-11 12:47:16.999508,CUST7971,success,12,Wednesday
FIX000036,University Campus,withdrawal,200.0,2026-03-05 23:56:16.999673,CUST7614,success,23,Thursday
FIX000037,Shopping Mall,balance_check,0.0,2026-03-18 22:53:16.999835,CUST2148,success,22,Wednesday
FIX000038,Shopping Mall,withdrawal,140.0,2026-01-24 00:27:16.999968,CUST4124,success,0,Saturday
FIX000039,Shopping Mall,withdrawal,100.0,2026-02-10 16:10:17.000140,CUST8987,success,16,Tuesday
FIX000040,Airport Terminal,balance_check,0.0,2026-03-20 15:57:17.000306,CUST9932,success,15,Friday
FIX000041,Downtown Branch,withdrawal,40.0,2026-04-11 05:04:17.000463,CUST8805,success,5,Saturday
FIX000042,Airport Terminal,withdrawal,200.0,2026-04-19 04:00:17.000623,CUST9130,success,4,Sunday
FIX000043,Downtown Branch,withdrawal,20.0,2026-01-24 02:19:17.000785,CUST7617,success,2,Saturday
FIX000044,Hospital Complex,withdrawal,40.0,2026-03-17 23:46:17.000957,CUST8390,success,23,Tuesday
FIX000045,Downtown Branch,balance_check,0.0,2026-04-18 15:20:17.001121,CUST6878,success,15,Saturday
FIX000046,University Campus,balance_check,0.0,2026-03-18 20:49:17.001263,CUST5000,success,20,Wednesday
FIX000047,University Campus,balance_check,0.0,2026-04-07 22:13:17.001399,CUST5380,success,22,Tuesday
FIX000048,University Campus,withdrawal,80.0,2026-04-18 04:25:17.001539,CUST1417,success,4,Saturday
FIX000049,Downtown Branch,withdrawal,500.0,2026-02-20 23:23:17.001710,CUST8164,success,23,Friday
FIX000050,Hospital Complex,balance_check,0.0,2026-02-06 03:52:17.001872,CUST6073,success,3,Friday
FIX000051,University Campus,deposit,1186.69,2026-03-27 22:44:17.002007,CUST5968,success,22,Friday
FIX000052,Downtown Branch,withdrawal,100.0,2026-01-25 23:28:17.002155,CUST8400,success,23,Sunday
FIX000053,University Campus,transfer,953.08,2026-02-08 01:48:17.002314,CUST5980,success,1,Sunday
FIX000054,University Campus,withdrawal,200.0,2026-02-26 22:17:17.002501,CUST8860,success,22,Thursday
FIX000055,Downtown Branch,deposit,415.82,2026-04-15 04:41:17.002663,CUST8241,success,4,Wednesday
FIX000056,Downtown Branch,balance_check,0.0,2026-04-13 01:30:17.002806,CUST3681,success,1,Monday
FIX000057,Hospital Complex,withdrawal,400.0,2026-03-12 23:57:17.002946,CUST8494,success,23,Thursday
FIX000058,Shopping Mall,balance_check,0.0,2026-03-14 21:10:17.003104,CUST5186,success,21,Saturday
FIX000059,Downtown Branch,withdrawal,80.0,2026-02-12 02:31:17.003525,CUST4072,success,2,Thursday
FIX000060,Airport Terminal,withdrawal,160.0,2026-02-16 03:27:17.003880,CUST7316,success,3,Monday
