transaction_id,atm_location,transaction_type,amount,transaction_time,customer_id,status,hour
IND000001,Airport Terminal,withdrawal,100.0,2026-04-12 04:05:39.629925,CUST5903,success,4
IND000002,Downtown Branch,withdrawal,40.0,2026-04-19 04:09:39.630425,CUST5785,failed,4
IND000003,Downtown Branch,deposit,738.17,2026-02-18 04:11:39.630600,CUST6530,success,4
IND000004,Airport Terminal,balance_check,0.0,2026-04-11 03:51:39.630747,CUST5270,success,3
IND000005,Airport Terminal,balance_check,0.0,2026-03-24 04:16:39.630844,CUST4856,success,4
IND000006,Airport Terminal,withdrawal,100.0,2026-03-07 04:13:39.630935,CUST4682,success,4
IND000007,Airport Terminal,withdrawal,40.0,2026-01-22 03:50:39.631051,CUST8869,success,3
IND000008,Downtown Branch,withdrawal,100.0,2026-03-17 04:19:39.631166,CUST5568,success,4
IND000009,Airport Terminal,withdrawal,500.0,2026-04-15 03:47:39.631280,CUST7741,success,3
IND000010,Airport Terminal,withdrawal,20.0,2026-02-16 04:00:39.631389,CUST2663,success,4
IND000011,Downtown Branch,withdrawal,100.0,2026-02-22 03:44:39.631612,CUST5891,success,3
IND000012,Downtown Branch,balance_check,0.0,2026-02-09 03:35:39.632162,CUST1372,success,3
IND000013,Airport Terminal,deposit,142.81,2026-04-16 03:46:39.632323,CUST6785,success,3
IND000014,Downtown Branch,transfer,1353.87,2026-02-10 03:30:39.632444,CUST1575,success,3
IND000015,Downtown Branch,withdrawal,20.0,2026-03-09 04:19:39.632587,CUST4450,success,4
IND000016,Train Station,balance_check,0.0,2026-03-24 03:47:39.632727,CUST9272,success,3
IND000017,Airport Terminal,deposit,100.0,2026-02-03 03:41:39.632836,CUST2892,success,3
IND000018,Downtown Branch,transfer,394.13,2026-03-27 04:09:39.632956,CUST4294,success,4
IND000019,Downtown Branch,balance_check,0.0,2026-01-20 04:21:39.633085,CUST3918,success,4
IND000020,Train Station,withdrawal,40.0,2026-02-27 04:05:39.633254,CUST5172,success,4
IND000021,Downtown Branch,withdrawal,160.0,2026-03-11 03:44:39.633416,CUST7261,success,3
IND000022,Downtown Branch,withdrawal,180.0,2026-02-22 03:37:39.633561,CUST2387,success,3
IND000023,Downtown Branch,withdrawal,80.0,2026-02-27 03:56:39.633715,CUST6955,success,3
IND000024,Downtown Branch,withdrawal,400.0,2026-01-26 03:52:39.633894,CUST4140,success,3
