transaction_id,atm_location,transaction_type,amount,transaction_time,customer_id,status,date,hour,day_of_week,month
TXN202604190001,Residential Area West,withdrawal,97.14,2026-04-13 17:30:14.865071,CUST6664,success,2026-04-13,17,Monday,April
TXN202604190002,Downtown Branch,withdrawal,21.84,2026-04-15 18:44:14.865200,CUST8025,success,2026-04-15,18,Wednesday,April
TXN202604190003,Shopping Mall South,withdrawal,497.94,2026-03-31 15:09:14.865255,CUST3228,success,2026-03-31,15,Tuesday,March
TXN202604190004,Airport Terminal,withdrawal,218.2,2026-04-08 17:29:14.865293,CUST8898,success,2026-04-08,17,Wednesday,April
TXN202604190005,Hospital Complex,balance_check,0.0,2026-04-05 01:43:14.865326,CUST9155,success,2026-04-05,1,Sunday,April
TXN202604190006,Airport Terminal,balance_check,0.0,2026-03-26 15:58:14.865352,CUST2042,success,2026-03-26,15,Thursday,March
TXN202604190007,Residential Area West,withdrawal,38.36,2026-04-18 12:24:14.865379,CUST1036,success,2026-04-18,12,Saturday,April
TXN202604190008,Train Station Central,deposit,1983.78,2026-03-20 03:50:14.865411,CUST3325,success,2026-03-20,3,Friday,March
TXN202604190009,Business District,withdrawal,397.51,2026-04-16 03:32:14.865440,CUST9586,success,2026-04-16,3,Thursday,April
TXN202604190010,Hospital Complex,withdrawal,93.85,2026-03-23 21:03:14.865470,CUST4606,success,2026-03-23,21,Monday,March
TXN202604190011,Shopping Mall South,withdrawal,152.47,2026-03-24 03:55:14.865500,CUST2525,success,2026-03-24,3,Tuesday,March
TXN202604190012,Train Station Central,withdrawal,329.8,2026-04-11 19:51:14.865529,CUST3769,success,2026-04-11,19,Saturday,April
TXN202604190013,Airport Terminal,balance_check,0.0,2026-04-08 22:51:14.865558,CUST3756,success,2026-04-08,22,Wednesday,April
TXN202604190014,Downtown Branch,transfer,923.27,2026-03-26 22:55:14.865592,CUST8708,success,2026-03-26,22,Thursday,March
TXN202604190015,Business District,withdrawal,150.47,2026-04-17 18:48:14.865623,CUST2290,success,2026-04-17,18,Friday,April
TXN202604190016,Shopping Mall South,deposit,1966.39,2026-03-23 23:31:14.865652,CUST3898,success,2026-03-23,23,Monday,March
TXN202604190017,Downtown Branch,withdrawal,106.47,2026-04-02 04:32:14.865680,CUST4254,success,2026-04-02,4,Thursday,April
TXN202604190018,Business District,withdrawal,510.64,2026-03-25 16:30:14.865710,CUST1416,success,2026-03-25,16,Wednesday,March
TXN202604190019,Business District,balance_check,0.0,2026-03-31 16:30:14.865739,CUST6833,success,2026-03-31,16,Tuesday,March
TXN202604190020,Downtown Branch,balance_check,0.0,2026-03-27 21:17:14.865763,CUST2225,success,2026-03-27,21,Friday,March
TXN202604190021,Airport Terminal,withdrawal,196.45,2026-04-05 23:23:14.865782,CUST4089,success,2026-04-05,23,Sunday,April
TXN202604190022,Shopping Mall South,balance_check,0.0,2026-04-14 15:38:14.865800,CUST5021,success,2026-04-14,15,Tuesday,April
TXN202604190023,Shopping Mall North,withdrawal,216.72,2026-04-03 22:08:14.865815,CUST4535,success,2026-04-03,22,Friday,April
TXN202604190024,Business District,balance_check,0.0,2026-04-14 19:04:14.865831,CUST6462,success,2026-04-14,19,Tuesday,April
TXN202604190025,Sports Stadium,deposit,683.83,2026-04-13 15:52:14.865845,CUST8404,success,2026-04-13,15,Monday,April
TXN202604190026,Train Station Central,withdrawal,105.83,2026-04-12 02:14:14.865860,CUST2998,failed,2026-04-12,2,Sunday,April
TXN202604190027,Train Station Central,withdrawal,201.14,2026-03-27 17:46:14.865892,CUST9718,success,2026-03-27,17,Friday,March
TXN202604190028,Downtown Branch,balance_check,0.0,2026-04-06 10:08:14.865909,CUST2821,success,2026-04-06,10,Monday,April
TXN202604190029,Business District,balance_check,0.0,2026-04-12 22:00:14.865923,CUST9192,success,2026-04-12,22,Sunday,April
TXN202604190030,Sports Stadium,withdrawal,212.71,2026-04-14 08:54:14.865936,CUST8737,success,2026-04-14,8,Tuesday,April
TXN202604190031,Train Station Central,withdrawal,182.77,2026-04-15 15:52:14.865953,CUST8011,success,2026-04-15,15,Wednesday,April
