transaction_id,atm_location,transaction_type,amount,transaction_time,customer_id,status
REAL000001,Hospital Complex,withdrawal,60.0,2026-02-06 15:53:44.089853,CUST9322,success
REAL000002,Airport Terminal,withdrawal,500.0,2026-03-20 15:36:44.090070,CUST7396,success
REAL000003,Shopping Mall,withdrawal,500.0,2026-02-19 23:32:44.090204,CUST2899,success
REAL000004,University Campus,withdrawal,80.0,2026-04-16 18:37:44.090372,CUST9792,success
REAL000005,University Campus,withdrawal,200.0,2026-04-10 18:48:44.090470,CUST1775,success
REAL000006,Airport Terminal,balance_check,0.0,2026-03-14 15:24:44.090585,CUST4843,success
REAL000007,University Campus,deposit,1800.17,2026-01-19 15:30:44.090677,CUST2016,success
REAL000008,University Campus,withdrawal,300.0,2026-01-29 15:29:44.090780,CUST7331,success
REAL000009,University Campus,withdrawal,500.0,2026-04-05 03:29:44.090898,CUST3695,success
REAL000010,Hospital Complex,balance_check,0.0,2026-01-28 17:06:44.091008,CUST4561,success
REAL000011,Hospital Complex,withdrawal,100.0,2026-04-13 04:05:44.091100,CUST3731,success
REAL000012,Airport Terminal,withdrawal,200.0,2026-02-13 15:39:44.091209,CUST1502,success
REAL000013,University Campus,balance_check,0.0,2026-03-24 06:05:44.091303,CUST2484,success
REAL000014,Hospital Complex,balance_check,0.0,2026-02-26 15:42:44.091401,CUST2678,success
REAL000015,Airport Terminal,withdrawal,200.0,2026-04-07 08:42:44.091477,CUST3693,success
REAL000016,Downtown Branch,deposit,716.26,2026-01-26 02:44:44.091588,CUST8392,success
REAL000017,Hospital Complex,withdrawal,60.0,2026-02-01 17:33:44.091686,CUST1663,success
REAL000018,Airport Terminal,withdrawal,120.0,2026-03-18 14:42:44.091782,CUST2291,success
REAL000019,Hospital Complex,withdrawal,500.0,2026-02-22 18:57:44.091898,CUST6855,success
REAL000020,University Campus,withdrawal,500.0,2026-04-17 17:21:44.091994,CUST4510,success
REAL000021,Downtown Branch,withdrawal,500.0,2026-03-12 19:50:44.092096,CUST5282,success
REAL000022,University Campus,withdrawal,200.0,2026-03-31 03:15:44.092206,CUST3911,success
REAL000023,Downtown Branch,deposit,361.29,2026-03-10 15:35:44.092325,CUST6534,success
REAL000024,University Campus,balance_check,0.0,2026-04-13 09:58:44.092407,CUST3049,success
REAL000025,Shopping Mall,deposit,458.54,2026-02-10 00:37:44.092484,CUST3255,success
REAL000026,University Campus,deposit,1716.76,2026-02-24 12:18:44.092565,CUST5199,success
REAL000027,Airport Terminal,transfer,319.72,2026-01-21 03:39:44.092670,CUST3869,success
REAL000028,Shopping Mall,withdrawal,100.0,2026-03-17 16:10:44.092768,CUST5496,success
REAL000029,Hospital Complex,withdrawal,100.0,2026-02-19 18:23:44.092876,CUST9754,success
REAL000030,University Campus,withdrawal,200.0,2026-03-30 10:44:44.092968,CUST8996,success
REAL000031,Hospital Complex,withdrawal,500.0,2026-02-14 18:25:44.093109,CUST2060,success
REAL000032,Hospital Complex,withdrawal,500.0,2026-03-04 19:21:44.093283,CUST1980,success
REAL000033,Airport Terminal,withdrawal,500.0,2026-02-12 02:56:44.093407,CUST8455,success
REAL000034,Shopping Mall,deposit,1507.46,2026-03-23 23:32:44.093517,CUST8343,success
REAL000035,Downtown Branch,withdrawal,200.0,2026-03-24 23:39:44.093614,CUST5780,success
REAL000036,Airport Terminal,deposit,742.19,2026-04-04 04:00:44.093728,CUST6919,success
REAL000037,Downtown Branch,withdrawal,100.0,2026-03-26 03:16:44.093825,CUST5777,success
REAL000038,Hospital Complex,withdrawal,300.0,2026-02-18 14:37:44.093922,CUST6222,success
REAL000039,University Campus,withdrawal,200.0,2026-03-04 03:39:44.094034,CUST2693,failed
REAL000040,Airport Terminal,balance_check,0.0,2026-03-31 22:46:44.094143,CUST9308,success
REAL000041,Downtown Branch,withdrawal,500.0,2026-04-07 22:21:44.094238,CUST8404,success
REAL000042,Shopping Mall,withdrawal,120.0,2026-02-14 16:09:44.094357,CUST8253,success
REAL000043,University Campus,withdrawal,400.0,2026-02-10 03:27:44.094465,CUST7617,success
REAL000044,University Campus,withdrawal,20.0,2026-03-17 18:44:44.094832,CUST3849,success
REAL000045,Airport Terminal,withdrawal,180.0,2026-04-01 03:16:44.095022,CUST7303,success
REAL000046,Shopping Mall,withdrawal,40.0,2026-04-07 12:24:44.095159,CUST6732,success
REAL000047,Airport Terminal,withdrawal,100.0,2026-03-10 16:04:44.095292,CUST9945,success
REAL000048,Airport Terminal,balance_check,0.0,2026-04-12 03:45:44.095403,CUST9306,success
REAL000049,University Campus,withdrawal,120.0,2026-02-04 03:45:44.095495,CUST6988,failed
REAL000050,Hospital Complex,withdrawal,120.0,2026-03-02 09:39:44.095772,CUST4440,success
REAL000051,Hospital Complex,withdrawal,160.0,2026-03-20 16:57:44.095973,CUST1698,success
REAL000052,University Campus,balance_check,0.0,2026-02-18 03:33:44.096137,CUST1717,success
REAL000053,Hospital Complex,withdrawal,200.0,2026-04-03 18:21:44.096311,CUST8651,success
REAL000054,Airport Terminal,withdrawal,160.0,2026-02-21 20:35:44.096506,CUST8330,success
REAL000055,Downtown Branch,transfer,703.63,2026-02-04 01:56:44.096680,CUST2542,success
REAL000056,Shopping Mall,deposit,378.55,2026-04-11 02:24:44.096822,CUST2365,success
REAL000057,Shopping Mall,balance_check,0.0,2026-01-21 05:29:44.096907,CUST7588,success
REAL000058,Airport Terminal,withdrawal,140.0,2026-02-04 17:48:44.097004,CUST4709,success
REAL000059,University Campus,balance_check,0.0,2026-02-18 03:33:44.097118,CUST1504,success
REAL000060,Hospital Complex,withdrawal,500.0,2026-02-22 23:41:44.097231,CUST2852,success
REAL000061,Downtown Branch,deposit,580.68,2026-01-25 04:03:44.097362,CUST7190,success
REAL000062,Downtown Branch,withdrawal,200.0,2026-03-19 18:13:44.097463,CUST8114,success
REAL000063,University Campus,withdrawal,200.0,2026-02-06 15:36:44.097575,CUST7819,success
REAL000064,Downtown Branch,withdrawal,500.0,2026-02-28 23:46:44.097684,CUST6320,failed
REAL000065,Hospital Complex,deposit,1662.82,2026-03-21 17:01:44.097793,CUST2838,success
REAL000066,Downtown Branch,deposit,185.92,2026-02-23 02:44:44.097875,CUST3193,success
REAL000067,Shopping Mall,balance_check,0.0,2026-04-08 19:53:44.097957,CUST7938,success
REAL000068,Hospital Complex,withdrawal,400.0,2026-04-19 03:53:44.098051,CUST6989,success
REAL000069,Hospital Complex,balance_check,0.0,2026-02-25 13:37:44.098144,CUST8245,success
REAL000070,Airport Terminal,withdrawal,400.0,2026-03-06 03:01:44.098237,CUST4419,success
REAL000071,University Campus,balance_check,0.0,2026-03-17 03:20:44.098348,CUST2077,success
REAL000072,Airport Terminal,balance_check,0.0,2026-03-03 19:51:44.098444,CUST5530,success
REAL000073,Airport Terminal,withdrawal,120.0,2026-03-13 10:24:44.098523,CUST2331,success
REAL000074,University Campus,withdrawal,400.0,2026-01-30 18:44:44.098636,CUST1137,success
REAL000075,Hospital Complex,withdrawal,500.0,2026-04-03 02:54:44.098728,CUST7269,success
REAL000076,University Campus,withdrawal,120.0,2026-03-28 02:19:44.098838,CUST9472,success
REAL000077,Hospital Complex,transfer,621.84,2026-03-24 09:45:44.098929,CUST6124,success
REAL000078,Airport Terminal,withdrawal,180.0,2026-03-28 23:53:44.099030,CUST8240,success
REAL000079,Downtown Branch,withdrawal,60.0,2026-01-23 18:27:44.099139,CUST2276,success
REAL000080,Airport Terminal,withdrawal,300.0,2026-02-22 21:52:44.099230,CUST1364,success
REAL000081,Hospital Complex,deposit,1072.19,2026-04-13 04:11:44.099355,CUST4345,success
REAL000082,Downtown Branch,balance_check,0.0,2026-04-04 18:49:44.099455,CUST2296,success
REAL000083,Shopping Mall,deposit,1227.83,2026-03-06 23:49:44.099554,CUST1232,success
REAL000084,Airport Terminal,withdrawal,200.0,2026-01-24 03:40:44.099652,CUST3472,success
