transaction_id,atm_location,transaction_type,amount,transaction_time,customer_id,status,hour
REAL000001,Downtown Branch,withdrawal,60.0,2026-04-08 23:18:36.946184,CUST9322,success,23
REAL000002,Downtown Branch,withdrawal,80.0,2026-04-08 02:56:36.946604,CUST7396,success,2
REAL000003,Downtown Branch,withdrawal,500.0,2026-03-23 23:44:36.946894,CUST4005,success,23
REAL000004,Downtown Branch,deposit,160.76,2026-03-26 04:23:36.947162,CUST9433,failed,4
REAL000005,Shopping Mall,withdrawal,200.0,2026-04-18 00:06:36.947425,CUST9226,success,0
REAL000006,Airport Terminal,balance_check,0.0,2026-04-01 20:46:36.947716,CUST7873,success,20
REAL000007,Downtown Branch,balance_check,0.0,2026-04-16 00:12:36.947977,CUST2016,success,0
REAL000008,Airport Terminal,withdrawal,300.0,2026-04-03 19:41:36.948124,CUST7331,success,19
REAL000009,Shopping Mall,withdrawal,500.0,2026-04-04 23:41:36.948249,CUST6258,success,23
REAL000010,Airport Terminal,withdrawal,400.0,2026-04-17 02:53:36.948372,CUST9392,success,2
REAL000011,Airport Terminal,withdrawal,100.0,2026-04-03 18:31:36.948510,CUST9154,success,18
REAL000012,Airport Terminal,balance_check,0.0,2026-04-04 19:12:36.948656,CUST7938,success,19
REAL000013,Shopping Mall,withdrawal,300.0,2026-04-10 00:13:36.948763,CUST7019,success,0
REAL000014,Hospital Complex,withdrawal,80.0,2026-04-12 14:41:36.948892,CUST4157,success,14
REAL000015,University Campus,withdrawal,100.0,2026-03-29 13:20:36.949011,CUST6450,success,13
REAL000016,Downtown Branch,deposit,1130.28,2026-03-25 23:47:36.949141,CUST7776,success,23
REAL000017,Hospital Complex,withdrawal,160.0,2026-04-16 12:47:36.949261,CUST1663,success,12
REAL000018,Airport Terminal,withdrawal,20.0,2026-03-26 15:45:36.949386,CUST4581,success,15
REAL000019,Airport Terminal,transfer,436.83,2026-04-14 17:37:36.949510,CUST1854,success,17
REAL000020,Airport Terminal,withdrawal,120.0,2026-04-01 03:24:36.949640,CUST4510,success,3
REAL000021,Downtown Branch,withdrawal,500.0,2026-04-13 19:02:36.949767,CUST7287,success,19
REAL000022,Airport Terminal,deposit,101.76,2026-04-03 15:57:36.949889,CUST9338,success,15
REAL000023,University Campus,withdrawal,140.0,2026-04-10 23:53:36.950000,CUST9120,success,23
REAL000024,Train Station,withdrawal,200.0,2026-03-21 02:44:36.950120,CUST3049,success,2
REAL000025,Shopping Mall,withdrawal,100.0,2026-04-14 19:54:36.950241,CUST3255,success,19
REAL000026,University Campus,deposit,141.76,2026-03-28 13:30:36.950358,CUST6539,success,13
REAL000027,Downtown Branch,withdrawal,400.0,2026-03-20 20:51:36.950458,CUST5973,success,20
REAL000028,Shopping Mall,withdrawal,20.0,2026-04-03 23:45:36.950604,CUST7015,success,23
REAL000029,Downtown Branch,withdrawal,100.0,2026-04-18 17:38:36.950725,CUST4436,success,17
REAL000030,Shopping Mall,withdrawal,200.0,2026-03-23 22:52:36.950846,CUST8996,success,22
REAL000031,Downtown Branch,transfer,731.42,2026-04-03 00:09:36.950966,CUST2060,success,0
REAL000032,University Campus,withdrawal,500.0,2026-04-06 01:33:36.951070,CUST1980,success,1
REAL000033,Airport Terminal,withdrawal,400.0,2026-04-17 04:08:36.951191,CUST4863,success,4
REAL000034,Downtown Branch,withdrawal,100.0,2026-03-28 04:24:36.951324,CUST8560,success,4
REAL000035,Airport Terminal,balance_check,0.0,2026-03-21 18:44:36.951450,CUST9716,success,18
REAL000036,Downtown Branch,withdrawal,20.0,2026-04-16 04:41:36.951550,CUST7002,success,4
REAL000037,Shopping Mall,withdrawal,20.0,2026-04-17 23:54:36.951672,CUST2148,success,23
