transaction_id,atm_location,transaction_type,amount,transaction_time,customer_id,status,hour
REAL000001,Downtown Branch,withdrawal,431.79,2026-04-09 18:30:29.326515,CUST1918,success,18
REAL000002,University Campus,balance_check,0.0,2026-02-20 10:16:29.326833,CUST6549,success,10
REAL000003,Downtown Branch,deposit,1719.09,2026-02-21 19:14:29.327051,CUST3301,success,19
REAL000004,University Campus,balance_check,0.0,2026-03-09 06:50:29.327171,CUST8026,success,6
REAL000005,University Campus,deposit,387.88,2026-04-17 03:26:29.327289,CUST2992,success,3
REAL000006,Airport Terminal,balance_check,0.0,2026-03-27 06:44:29.327399,CUST3294,success,6
REAL000007,Shopping Mall,balance_check,0.0,2026-03-24 07:55:29.327499,CUST3042,success,7
REAL000008,Airport Terminal,withdrawal,482.14,2026-04-05 07:39:29.327598,CUST9554,success,7
REAL000009,University Campus,transfer,242.85,2026-04-02 18:32:29.327710,CUST3433,success,18
REAL000010,Shopping Mall,withdrawal,105.15,2026-03-30 00:16:29.327819,CUST2244,success,0
REAL000011,University Campus,withdrawal,194.48,2026-04-12 22:16:29.327928,CUST8973,failed,22
REAL000012,Shopping Mall,balance_check,0.0,2026-02-26 05:50:29.328032,CUST4731,success,5
REAL000013,University Campus,balance_check,0.0,2026-04-18 18:27:29.328131,CUST9638,failed,18
REAL000014,University Campus,withdrawal,35.63,2026-04-09 23:20:29.328230,CUST3993,success,23
REAL000015,Hospital Complex,transfer,176.95,2026-03-18 08:36:29.328335,CUST7582,success,8
REAL000016,Downtown Branch,deposit,1240.86,2026-04-03 00:56:29.328440,CUST1849,success,0
REAL000017,University Campus,withdrawal,34.89,2026-03-28 06:22:29.328545,CUST7069,success,6
REAL000018,University Campus,withdrawal,331.07,2026-04-13 23:54:29.328648,CUST9544,success,23
REAL000019,Downtown Branch,balance_check,0.0,2026-02-23 14:09:29.328752,CUST3344,success,14
REAL000020,Airport Terminal,withdrawal,405.12,2026-02-27 03:31:29.328849,CUST9067,success,3
REAL000021,Airport Terminal,withdrawal,137.11,2026-03-26 18:21:29.328954,CUST4360,success,18
REAL000022,Hospital Complex,balance_check,0.0,2026-03-05 03:31:29.329063,CUST8552,success,3
REAL000023,Downtown Branch,withdrawal,336.79,2026-04-19 11:02:29.329167,CUST3022,success,11
